loja,cep,categoria_bloco,nome_produto,preco,link_produto,data_coleta
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Peça a Vácuo Kg,59.38,https://www.deliveryfort.com.br/contra-file-bovino-friboi-peca-a-vacuo-kg/p,2026-01-07 19:34:19
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Entrecorte Bovino Maturatta,119.56,https://www.deliveryfort.com.br/entrecorte-bovino-maturatta/p,2026-01-07 19:34:19
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Maturatta T-Bone,90.87,https://www.deliveryfort.com.br/contra-file-bovino-friboi-maturatta-t-bone/p,2026-01-07 19:34:19
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Alcatra Bovina A Vácuo Resfriado,71.97,https://www.deliveryfort.com.br/alcatra-bovina-a-vacuo-resfriado/p,2026-01-07 19:34:19
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Capa do Contrafilé Friboi a Vácuo Kg,0.0,https://www.deliveryfort.com.br/capa-do-contrafile-friboi-a-vacuo-kg/p,2026-01-07 19:34:19
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Peça a Vácuo Kg,59.38,https://www.deliveryfort.com.br/contra-file-bovino-friboi-peca-a-vacuo-kg/p,2026-01-07 20:21:13
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Entrecorte Bovino Maturatta,119.56,https://www.deliveryfort.com.br/entrecorte-bovino-maturatta/p,2026-01-07 20:21:13
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Maturatta T-Bone,90.87,https://www.deliveryfort.com.br/contra-file-bovino-friboi-maturatta-t-bone/p,2026-01-07 20:21:13
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Alcatra Bovina A Vácuo Resfriado,71.97,https://www.deliveryfort.com.br/alcatra-bovina-a-vacuo-resfriado/p,2026-01-07 20:21:13
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Capa do Contrafilé Friboi a Vácuo Kg,0.0,https://www.deliveryfort.com.br/capa-do-contrafile-friboi-a-vacuo-kg/p,2026-01-07 20:21:13
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Peça a Vácuo Kg,59.38,https://www.deliveryfort.com.br/contra-file-bovino-friboi-peca-a-vacuo-kg/p,2026-01-07 23:29:52
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Entrecorte Bovino Maturatta,119.56,https://www.deliveryfort.com.br/entrecorte-bovino-maturatta/p,2026-01-07 23:29:52
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Maturatta T-Bone,90.87,https://www.deliveryfort.com.br/contra-file-bovino-friboi-maturatta-t-bone/p,2026-01-07 23:29:52
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Alcatra Bovina A Vácuo Resfriado,71.97,https://www.deliveryfort.com.br/alcatra-bovina-a-vacuo-resfriado/p,2026-01-07 23:29:52
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Capa do Contrafilé Friboi a Vácuo Kg,0.0,https://www.deliveryfort.com.br/capa-do-contrafile-friboi-a-vacuo-kg/p,2026-01-07 23:29:52
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Peça a Vácuo Kg,59.38,https://www.deliveryfort.com.br/contra-file-bovino-friboi-peca-a-vacuo-kg/p,2026-01-08 23:19:46
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Entrecorte Bovino Maturatta,119.56,https://www.deliveryfort.com.br/entrecorte-bovino-maturatta/p,2026-01-08 23:19:46
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Alcatra Bovina A Vácuo Resfriado,71.97,https://www.deliveryfort.com.br/alcatra-bovina-a-vacuo-resfriado/p,2026-01-08 23:19:46
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Maturatta T-Bone,90.87,https://www.deliveryfort.com.br/contra-file-bovino-friboi-maturatta-t-bone/p,2026-01-08 23:19:46
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Capa do Contrafilé Friboi a Vácuo Kg,0.0,https://www.deliveryfort.com.br/capa-do-contrafile-friboi-a-vacuo-kg/p,2026-01-08 23:19:46
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Peça a Vácuo Kg,59.38,https://www.deliveryfort.com.br/contra-file-bovino-friboi-peca-a-vacuo-kg/p,2026-01-09 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Entrecorte Bovino Maturatta,119.56,https://www.deliveryfort.com.br/entrecorte-bovino-maturatta/p,2026-01-09 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Alcatra Bovina A Vácuo Resfriado,71.97,https://www.deliveryfort.com.br/alcatra-bovina-a-vacuo-resfriado/p,2026-01-09 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Maturatta T-Bone,90.87,https://www.deliveryfort.com.br/contra-file-bovino-friboi-maturatta-t-bone/p,2026-01-09 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Capa do Contrafilé Friboi a Vácuo Kg,0.0,https://www.deliveryfort.com.br/capa-do-contrafile-friboi-a-vacuo-kg/p,2026-01-09 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Peça a Vácuo Kg,59.38,https://www.deliveryfort.com.br/contra-file-bovino-friboi-peca-a-vacuo-kg/p,2026-01-10 23:19:42
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Entrecorte Bovino Maturatta,119.56,https://www.deliveryfort.com.br/entrecorte-bovino-maturatta/p,2026-01-10 23:19:42
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Alcatra Bovina A Vácuo Resfriado,71.97,https://www.deliveryfort.com.br/alcatra-bovina-a-vacuo-resfriado/p,2026-01-10 23:19:42
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Maturatta T-Bone,90.87,https://www.deliveryfort.com.br/contra-file-bovino-friboi-maturatta-t-bone/p,2026-01-10 23:19:42
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Capa do Contrafilé Friboi a Vácuo Kg,0.0,https://www.deliveryfort.com.br/capa-do-contrafile-friboi-a-vacuo-kg/p,2026-01-10 23:19:42
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Peça a Vácuo Kg,59.38,https://www.deliveryfort.com.br/contra-file-bovino-friboi-peca-a-vacuo-kg/p,2026-01-11 23:19:49
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Entrecorte Bovino Maturatta,119.56,https://www.deliveryfort.com.br/entrecorte-bovino-maturatta/p,2026-01-11 23:19:49
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Alcatra Bovina A Vácuo Resfriado,71.97,https://www.deliveryfort.com.br/alcatra-bovina-a-vacuo-resfriado/p,2026-01-11 23:19:49
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Maturatta T-Bone,90.87,https://www.deliveryfort.com.br/contra-file-bovino-friboi-maturatta-t-bone/p,2026-01-11 23:19:49
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Capa do Contrafilé Friboi a Vácuo Kg,0.0,https://www.deliveryfort.com.br/capa-do-contrafile-friboi-a-vacuo-kg/p,2026-01-11 23:19:49
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Contra Filé Bovino Friboi Peça a Vácuo Kg,59.38,https://www.deliveryfort.com.br/contra-file-bovino-friboi-peca-a-vacuo-kg/p,2026-01-12 23:19:16
LOJA 810 - FLORIANÓPOLIS,88063-038,Contra_File,Entrecorte Bovino Maturatta,89.56,https://www.deliveryfort.com.br/entrecorte-bovino-maturatta/p,2026-01-12 23:19:16
