loja,cep,categoria_bloco,nome_produto,preco,link_produto,data_coleta
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Tirol Integral 1 Litro,3.98,https://www.deliveryfort.com.br/leite-tirol-integral-1-litro/p,2026-01-07 19:34:03
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Parmalat Integral Tetra Pack 1 Litro,3.88,https://www.deliveryfort.com.br/leite-parmalat-integral-tetra-pack-1-litro/p,2026-01-07 19:34:03
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Ninho Forti+ Integral 1 Litro,5.49,https://www.deliveryfort.com.br/leite-ninho-forti--integral-1-litro/p,2026-01-07 19:34:03
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Elegê Integral 1 Litro,3.88,https://www.deliveryfort.com.br/leite-elege-integral-1-litro/p,2026-01-07 19:34:03
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Tirol Integral 1 Litro,3.98,https://www.deliveryfort.com.br/leite-tirol-integral-1-litro/p,2026-01-07 20:20:55
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Parmalat Integral Tetra Pack 1 Litro,3.88,https://www.deliveryfort.com.br/leite-parmalat-integral-tetra-pack-1-litro/p,2026-01-07 20:20:55
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Ninho Forti+ Integral 1 Litro,5.49,https://www.deliveryfort.com.br/leite-ninho-forti--integral-1-litro/p,2026-01-07 20:20:55
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Elegê Integral 1 Litro,3.88,https://www.deliveryfort.com.br/leite-elege-integral-1-litro/p,2026-01-07 20:20:55
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Tirol Integral 1 Litro,3.98,https://www.deliveryfort.com.br/leite-tirol-integral-1-litro/p,2026-01-07 23:29:36
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Parmalat Integral Tetra Pack 1 Litro,3.88,https://www.deliveryfort.com.br/leite-parmalat-integral-tetra-pack-1-litro/p,2026-01-07 23:29:36
LOJA 810 - FLORIANÓPOLIS,88063-038,Leite,Leite Ninho Forti+ Integral 1 Litro,5.49,https://www.deliveryfort.com.br/leite-ninho-forti--integral-1-litro/p,2026-01-07 23:29:36
